Joe Thornton,30.62301845550537,35.23471641540527,38.585204696655275
Patrick Marleau,17.784216690063477,24.892183303833008,29.31771316528321
Justin Williams,32.54315032958984,37.070383071899414,40.54300956726075
Ilya Kovalchuk,28.022645568847654,36.586952209472656,43.774070739746094
Jason Spezza,19.64682502746582,25.706212043762207,29.991085052490234
Mikko Koivu,31.254836273193362,35.5881404876709,39.61640167236328
Jason Pominville,15.073910617828368,22.763318061828613,27.77818813323975
Tomas Plekanec,10.895037269592285,20.990541458129883,26.807627868652347
Valtteri Filppula,21.496227455139163,26.784709930419922,30.856350708007817
Frans Nielsen,25.585542488098145,30.5187931060791,33.42005233764649
Alexander Steen,19.479809379577638,26.42599391937256,31.1283618927002
Chris Kunitz,5.61883430480957,17.592764854431152,23.350474929809575
Eric Staal,42.761175537109374,47.72187805175781,54.07239379882813
Thomas Vanek,27.342303848266603,33.108686447143555,36.72604179382324
Jeff Carter,30.319780921936037,35.09214973449707,39.30227890014648
Dustin Brown,38.42080993652344,43.4962043762207,47.89688720703125
Zach Parise,40.11233329772949,43.753976821899414,46.55177230834961
Ryan Getzlaf,37.368756484985354,42.709115982055664,47.086608505249025
Ryan Kesler,9.993068885803222,21.095434188842773,26.926734924316406
Corey Perry,19.459873580932616,27.528767585754395,33.90235443115235
Patrick Eaves,15.684124088287355,25.027990341186523,30.800061416625976
Loui Eriksson,17.98694438934326,24.63666820526123,29.6358211517334
Patrice Bergeron,61.284564590454096,66.40630722045898,73.86735229492187
David Backes,15.773847007751465,23.474175453186035,28.71442317962647
Lee Stempniak,11.468572902679444,21.561389923095703,26.791146087646485
Joe Pavelski,47.80717010498047,52.936279296875,59.346010589599615
Alex Ovechkin,64.72017822265624,70.72640609741211,80.45825347900391
Evgeni Malkin,66.30054168701172,74.68098449707031,85.45035934448242
Andrew Ladd,15.268118667602538,23.63652801513672,28.57906684875488
Blake Wheeler,71.57545166015625,78.47007369995117,90.68555755615235
Drew Stafford,12.607797336578368,21.61314105987549,26.720546150207525
Alexander Radulov,57.4930419921875,62.915950775146484,71.0084815979004
Travis Zajac,33.94384574890137,37.657196044921875,41.27126884460449
Carl Soderberg,35.411699295043945,38.780975341796875,41.90837936401367
Brandon Dubinsky,9.594358730316163,20.120064735412598,25.694786453247076
David Krejci,48.52651672363281,53.16726875305176,57.49291648864747
Ryan Callahan,13.52487392425537,22.31349468231201,27.391182518005376
Paul Stastny,37.46836585998535,41.62676429748535,45.27388000488281
Sidney Crosby,72.85570373535155,80.54884719848633,92.81738204956055
Bobby Ryan,30.719898414611816,34.83901023864746,37.37666549682617
Anze Kopitar,54.20024032592774,63.38986587524414,70.723592376709
T.J. Oshie,43.887654113769536,48.02048110961914,51.7812873840332
James Neal,22.882459831237796,29.19162654876709,33.7617603302002
Patric Hornqvist,33.114060974121095,38.75461959838867,41.94103088378907
Bryan Little,30.30365753173828,34.29925727844238,38.141281890869145
Brad Marchand,71.93305130004883,80.19821166992188,90.2731689453125
Nick Foligno,25.909152603149415,32.09698677062988,35.22850151062012
Kyle Okposo,27.01656150817871,32.58830642700195,36.121329879760744
Milan Lucic,13.91571102142334,23.359232902526855,29.013500022888184
Claude Giroux,71.46501007080079,79.93584823608398,90.86801681518556
Patrik Berglund,18.873583221435545,26.135223388671875,31.932137298583985
Derick Brassard,22.413601112365722,29.329727172851562,33.76852188110352
Michael Grabner,18.982849502563475,25.752501487731934,31.803594207763673
Phil Kessel,68.78637237548828,76.57710266113281,88.7252067565918
Nicklas Backstrom,61.69633140563965,69.08808898925781,78.3504554748535
Jonathan Toews,61.15921211242676,66.8913688659668,74.0610939025879
Jamie Benn,45.59767303466797,52.23721122741699,58.97497482299805
James van Riemsdyk,42.247920227050784,47.12571907043457,52.147486495971684
Logan Couture,54.505696868896486,59.45688056945801,64.95162887573242
Kyle Turris,33.589697265625,39.78379440307617,43.485920715332036
David Perron,44.741523361206056,50.3830623626709,54.538726806640625
Patrick Kane,76.52379608154297,86.96884155273438,97.5238250732422
Evgenii Dadonov,53.85448684692383,58.86469841003418,64.15733032226564
Mikael Backlund,42.91796951293945,47.237932205200195,51.63535346984863
Max Pacioretty,34.610717391967775,39.66964530944824,42.88399658203126
Jakub Voracek,63.61439437866211,70.30398178100586,81.32848587036133
Wayne Simmonds,28.121232986450195,34.052778244018555,38.42235260009765
Steven Stamkos,69.83985061645508,77.93740463256836,85.55039291381837
Mikkel Boedker,27.288040161132812,31.95094871520996,34.69822044372559
Josh Bailey,49.28882179260254,55.488515853881836,62.74247207641602
Jordan Eberle,37.39687538146973,43.38103103637695,48.03121643066406
Derek Stepan,39.76825866699219,44.733436584472656,48.96857872009278
Adam Henrique,37.3573299407959,40.84788703918457,45.011680603027344
Gustav Nyquist,47.357753372192384,51.64566230773926,55.426062393188474
Cam Atkinson,55.73496742248535,60.96861457824707,68.17630310058594
Tyler Johnson,41.613454437255854,47.076202392578125,51.32811279296875
Mike Hoffman,54.176194000244145,59.333656311035156,66.61929931640626
Tyler Bozak,33.77398490905762,38.67512321472168,41.865936279296875
Marcus Johansson,33.132575607299806,38.7989616394043,42.16498184204102
Kyle Palmieri,47.51491088867188,52.255990982055664,57.43126373291016
Ryan O''Reilly,62.99650573730469,68.67370223999023,76.68691024780273
John Tavares,65.52475509643554,72.25276184082031,81.95374069213868
Matt Duchene,53.3781192779541,59.23716163635254,64.10635604858399
Evander Kane,44.561675262451175,48.35887145996094,53.235076904296875
Brayden Schenn,51.95490417480469,58.27236747741699,64.94819793701173
