Zdeno Chara,D,15.177501118183136,20.077364578843117,34.4941090285778
Niklas Kronwall,D,15.774681571125985,21.036568194627762,34.182311177253744
Jay Bouwmeester,D,14.035338585078716,19.506843395531178,34.10888059735299
Duncan Keith,D,23.110080081224442,29.49177822470665,39.162266355752955
Ryan Suter,D,30.49525642991066,36.631537809967995,43.413974553346634
Dion Phaneuf,D,13.043147136271001,18.646918043494225,33.50724075138569
Brent Seabrook,D,19.476966352760794,24.39111988246441,35.17938525080684
Brent Burns,D,47.44852752685547,56.29999029636383,64.09802362322807
Shea Weber,D,31.58178328573704,36.96070745587349,41.78382498025895
Dustin Byfuglien,D,29.16896422803402,35.832357093691826,41.963003134727494
Mark Giordano,D,45.95475009083748,51.136780977249146,56.97722882628441
Mike Green,D,22.53543578982353,28.22853171825409,37.75139533877374
Alex Goligoski,D,18.774069739878176,23.759872615337372,35.52722879052165
Andrej Sekera,D,16.435901732742785,20.958499133586884,33.80169426500799
Alexander Edler,D,28.76238522827625,35.518068581819534,40.26266041994096
Jack Johnson,D,12.85894882529974,18.709227845072746,33.544455707073226
Matt Niskanen,D,19.76209677159786,24.69997638463974,34.95461705029014
Kris Letang,D,46.444694608449936,54.02323120832443,59.264105403423315
Keith Yandle,D,42.840345424413684,46.34857326745987,51.95482184886933
Jeff Petry,D,37.52843929231167,42.70470151305199,46.42161747217179
Kevin Shattenkirk,D,23.67003469467163,28.50951825082302,38.70596863627434
P.K. Subban,D,39.76089262366295,46.37960696220398,55.14862983226776
Ryan McDonagh,D,39.54060558378696,44.42051902413368,47.808764261007305
Jake Muzzin,D,30.304787066578864,36.28406357765198,41.75477560162545
Drew Doughty,D,38.31621823012829,42.87627732753754,47.86264653205872
Alex Pietrangelo,D,45.143944478034975,50.261980056762695,55.9840778708458
Tyler Myers,D,32.455494835972786,37.704207599163055,42.552048188447955
Erik Karlsson,D,41.47083733081818,46.524841487407684,53.92203603386879
Jake Gardiner,D,28.90419432222843,33.833779484033585,42.494862681627275
Michael Del Zotto,D,17.627299274504185,22.159162506461143,34.6099035948515
John Carlson,D,47.6904473721981,56.92737752199173,62.806303095817576
Roman Josi,D,47.073879146575926,57.321806728839874,62.92491335272789
Justin Schultz,D,25.549296578764917,30.193702220916748,38.29008299112321
TJ Brodie,D,35.94264519512653,40.13188923895359,44.598727035522465
Jared Spurgeon,D,38.307231420278555,43.46163326501846,47.611050981283185
Victor Hedman,D,46.64360560178757,56.15703395009041,65.56835238933563
Oliver Ekman-Larsson,D,43.71245903372765,47.339368373155594,52.40465013384819
Ryan Ellis,D,40.85866591632366,45.849389880895615,49.888403236866
Nick Leddy,D,27.72031180262566,32.780054941773415,41.31661970615388
Tyson Barrie,D,46.40273208618164,52.91009962558746,57.76233677864075
Mattias Ekholm,D,35.72823788523674,40.99137490987778,45.106852954626085
Justin Faulk,D,39.967199411988254,43.756960451602936,47.6104494035244
John Klingberg,D,45.29697180986405,50.668178617954254,57.999408876895906
Dougie Hamilton,D,45.05061285495758,49.95210072398186,55.97818478345871
Colin Miller,D,31.25721823275089,35.86631581187248,41.66870149970055
Torey Krug,D,45.86421560645103,50.94172582030296,56.532067221403125
Morgan Rielly,D,47.395633208751676,56.14958843588829,61.30154884457588
Matt Dumba,D,41.15881141424179,45.95177683234215,50.25406505465508
Jacob Trouba,D,41.434318444132806,45.96720463037491,49.81288049221039
Shayne Gostisbehere,D,41.76922187805175,47.794173032045364,53.75181030631065
Erik Gustafsson,D,45.64985405802727,49.6578074991703,53.4135425388813
Will Butcher,D,38.16348698735237,44.81156435608864,52.17115633487701
Seth Jones,D,45.322126764059064,50.3222441971302,56.334094214439396
Darnell Nurse,D,37.05437301397323,42.22470083832741,45.50643613934517
Rasmus Ristolainen,D,35.400788623094556,40.93714015185833,45.901449114084244
Zach Werenski,D,45.262875807285305,49.95268201828003,55.07046627998352
Thomas Chabot,D,46.194484764337545,51.10200968384743,54.75245872139931
Ivan Provorov,D,37.971376395225526,45.80395245552063,52.758706843853005
Rasmus Dahlin,D,34.03749295771122,43.764487594366074,51.460593563318255
